                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.58103,                0.59154,                0.97864,                0.87702,                0.88005,                 0.9469,                0.66513,                 1.2548,                0.84583,                 1.2959,               0.008317,               0.008317,               0.008317
                     36,                0.56755,                0.56507,                0.97851,                0.92487,                0.95455,                0.98422,                0.75941,                 1.0353,                0.51589,                 1.1889,              0.0082675,              0.0082675,              0.0082675
                     37,                0.56982,                0.59504,                0.98247,                0.94432,                0.95206,                0.96393,                 0.7169,                 1.0574,                0.65771,                  1.233,               0.008218,               0.008218,               0.008218
                     38,                0.57075,                0.57811,                0.97928,                0.97325,                0.90227,                0.96421,                0.70197,                 1.1455,                0.59405,                  1.268,              0.0081685,              0.0081685,              0.0081685
                     39,                0.56551,                0.57194,                0.96089,                0.90595,                0.94252,                0.96135,                0.70247,                 1.0553,                0.64973,                 1.2256,               0.008119,               0.008119,               0.008119
                     40,                0.54086,                0.54058,                0.96771,                 0.9257,                0.91262,                0.95353,                0.65957,                 1.1579,                0.81364,                 1.2821,              0.0080695,              0.0080695,              0.0080695
                     41,                0.53307,                0.54996,                0.97076,                0.95466,                0.97015,                0.97496,                0.72433,                 1.0934,                0.59059,                 1.2572,                0.00802,                0.00802,                0.00802
                     42,                0.55715,                0.57027,                0.98261,                 0.9385,                0.92049,                0.95885,                0.72321,                 1.0764,                0.60873,                 1.2273,              0.0079705,              0.0079705,              0.0079705
                     43,                0.56059,                0.53328,                0.97026,                0.86676,                0.95397,                0.96188,                0.69363,                  1.152,                0.68598,                 1.2722,               0.007921,               0.007921,               0.007921
                     44,                0.52123,                0.50991,                0.95881,                0.93727,                0.92985,                0.97619,                0.68952,                 1.1369,                0.56197,                 1.3611,              0.0078715,              0.0078715,              0.0078715
                     45,                0.52825,                0.54867,                0.95371,                0.87811,                0.69738,                0.85831,                0.47087,                 1.5477,                 1.1193,                 1.6382,               0.007822,               0.007822,               0.007822
                     46,                0.54207,                 0.5208,                0.96934,                0.90832,                0.89247,                0.94397,                0.60632,                 1.3452,                0.76489,                 1.4236,              0.0077725,              0.0077725,              0.0077725
                     47,                0.55189,                 0.5428,                0.97683,                0.97577,                0.97477,                0.97291,                0.68417,                 1.1973,                0.57851,                 1.2926,               0.007723,               0.007723,               0.007723
                     48,                 0.5202,                0.51986,                0.94932,                0.98932,                0.94782,                0.97649,                0.71468,                    1.1,                0.54447,                 1.2182,              0.0076735,              0.0076735,              0.0076735
                     49,                0.55414,                0.52915,                0.96741,                0.96376,                0.95455,                0.97827,                0.73227,                 1.0105,                0.56571,                 1.1857,               0.007624,               0.007624,               0.007624
                     50,                0.54787,                0.51599,                 0.9748,                0.95935,                0.95586,                0.97516,                0.71532,                 1.0832,                0.54781,                 1.2263,              0.0075745,              0.0075745,              0.0075745
                     51,                0.53622,                0.51508,                0.96849,                0.98245,                 0.9263,                0.97222,                0.74165,                 1.0539,                0.56119,                 1.1692,               0.007525,               0.007525,               0.007525
                     52,                0.50831,                0.49546,                0.95484,                 0.9538,                0.94311,                 0.9742,                 0.7132,                 1.0938,                0.58987,                 1.2409,              0.0074755,              0.0074755,              0.0074755
                     53,                0.54209,                0.54699,                0.96827,                0.96505,                0.95151,                0.99048,                0.75353,                 1.0281,                0.52599,                 1.1768,               0.007426,               0.007426,               0.007426
                     54,                0.50171,                0.49558,                0.93959,                0.93363,                0.92571,                0.97417,                0.73741,                 1.0011,                0.61069,                 1.1628,              0.0073765,              0.0073765,              0.0073765
                     55,                  0.526,                0.51835,                0.96961,                0.96813,                0.95763,                0.98718,                0.71471,                 1.1035,                0.52725,                 1.2472,               0.007327,               0.007327,               0.007327
                     56,                0.48942,                0.47027,                0.95117,                 0.9584,                0.97727,                0.97153,                0.68595,                 1.1801,                0.69704,                 1.3337,              0.0072775,              0.0072775,              0.0072775
                     57,                0.48242,                0.47065,                0.93289,                0.98289,                0.90432,                0.96896,                0.72374,                 1.0175,                0.55124,                 1.2125,               0.007228,               0.007228,               0.007228
                     58,                0.47129,                0.45683,                0.93555,                0.93693,                0.91098,                 0.9697,                0.71126,                 1.0554,                 0.6434,                 1.1774,              0.0071785,              0.0071785,              0.0071785
                     59,                0.49602,                0.48141,                 0.9569,                0.93953,                0.90083,                0.95382,                 0.6582,                 1.2312,                0.73203,                 1.3508,               0.007129,               0.007129,               0.007129
                     60,                0.47939,                0.45564,                0.94188,                0.94752,                0.94629,                0.96462,                0.69915,                 1.0905,                 0.6811,                 1.2752,              0.0070795,              0.0070795,              0.0070795
                     61,                0.47916,                0.45925,                0.94619,                0.94402,                0.95712,                0.99324,                0.73703,                 1.0909,                0.53231,                 1.3184,                0.00703,                0.00703,                0.00703
                     62,                0.51974,                0.51401,                0.97573,                0.93796,                0.95155,                0.97771,                0.68034,                 1.1609,                0.58533,                 1.3775,              0.0069805,              0.0069805,              0.0069805
                     63,                0.48633,                0.45919,                0.93806,                0.96021,                0.93695,                0.96213,                0.72945,                 1.0792,                0.55776,                 1.2629,               0.006931,               0.006931,               0.006931
                     64,                0.48018,                0.47902,                0.94832,                0.97347,                0.93954,                0.96797,                0.72519,                 1.0532,                 0.5486,                 1.2566,              0.0068815,              0.0068815,              0.0068815
                     65,                0.48357,                0.47235,                0.94796,                0.97176,                0.95356,                0.97788,                0.71883,                 1.0452,                0.53905,                 1.1947,               0.006832,               0.006832,               0.006832
                     66,                0.47168,                0.44412,                0.93319,                 0.9287,                0.99529,                0.98949,                0.74041,                 1.0884,                0.48782,                  1.239,              0.0067825,              0.0067825,              0.0067825
                     67,                0.46725,                0.43788,                0.93385,                0.93606,                0.99833,                0.99125,                0.72326,                 1.0884,                0.53691,                 1.2239,               0.006733,               0.006733,               0.006733
                     68,                  0.455,                0.44952,                0.93317,                0.95953,                 0.9244,                  0.989,                0.74984,                 1.0785,                0.52193,                 1.2385,              0.0066835,              0.0066835,              0.0066835
                     69,                0.48244,                0.46981,                0.94863,                0.97371,                0.97113,                0.99313,                0.72027,                 1.1348,                0.48973,                 1.2669,               0.006634,               0.006634,               0.006634
                     70,                0.43584,                 0.4374,                0.92479,                0.93346,                0.97063,                0.98849,                0.72719,                 1.0532,                0.52402,                 1.2557,              0.0065845,              0.0065845,              0.0065845
                     71,                0.44485,                0.42306,                0.92838,                0.98012,                0.95455,                0.99125,                0.74343,                 1.0811,                0.50163,                 1.2558,               0.006535,               0.006535,               0.006535
                     72,                0.44833,                0.44543,                0.92077,                0.83757,                0.79861,                0.86896,                0.57701,                 1.3464,                0.99825,                 1.5661,              0.0064855,              0.0064855,              0.0064855
                     73,                0.44397,                0.42358,                0.92448,                0.96673,                 0.8976,                0.98016,                0.75138,                0.99395,                0.51655,                 1.2155,               0.006436,               0.006436,               0.006436
                     74,                0.42364,                0.41747,                0.92879,                0.95852,                0.93285,                0.97227,                0.72143,                  1.097,                0.58498,                 1.2928,              0.0063865,              0.0063865,              0.0063865
                     75,                0.43738,                0.42678,                0.93054,                0.97163,                0.92143,                0.97498,                0.71265,                 1.1213,                0.56583,                 1.3134,               0.006337,               0.006337,               0.006337
                     76,                0.44147,                0.42426,                  0.927,                0.98796,                0.88931,                0.98337,                0.69469,                 1.1087,                0.55375,                 1.3537,              0.0062875,              0.0062875,              0.0062875
                     77,                0.44461,                0.43208,                0.92498,                0.94457,                0.92606,                0.97005,                0.74227,                0.95857,                 0.6083,                 1.2127,               0.006238,               0.006238,               0.006238
                     78,                 0.4466,                0.43253,                0.94119,                0.87395,                0.84074,                0.95053,                0.65711,                 1.1554,                0.91716,                  1.345,              0.0061885,              0.0061885,              0.0061885
                     79,                0.43872,                0.42193,                0.92889,                0.92451,                0.96929,                0.98202,                0.76062,                0.98485,                0.57169,                 1.2466,               0.006139,               0.006139,               0.006139
                     80,                0.43114,                0.41247,                0.93127,                0.94198,                0.92185,                0.96082,                0.70948,                 1.0325,                0.55733,                 1.2594,              0.0060895,              0.0060895,              0.0060895
                     81,                0.44175,                0.43086,                0.92871,                0.98997,                0.96401,                0.97901,                0.71725,                 1.0588,                0.48084,                 1.2078,                0.00604,                0.00604,                0.00604
                     82,                0.44453,                0.43375,                0.93571,                0.98973,                0.97727,                0.97957,                0.73956,                 1.0403,                0.42695,                  1.188,              0.0059905,              0.0059905,              0.0059905
                     83,                0.42936,                0.41193,                0.92493,                0.96274,                0.94525,                0.99159,                0.71692,                 1.1187,                0.48691,                  1.231,               0.005941,               0.005941,               0.005941
                     84,                0.43464,                0.42705,                0.94188,                0.93914,                0.92805,                0.97866,                 0.7083,                 1.0748,                0.53583,                 1.2538,              0.0058915,              0.0058915,              0.0058915
                     85,                0.43874,                0.41792,                0.92945,                0.95284,                0.96165,                0.97613,                0.74721,                 1.0661,                0.43906,                 1.2569,               0.005842,               0.005842,               0.005842
                     86,                0.42742,                0.42201,                0.91532,                0.98482,                0.91427,                0.96608,                0.72571,                 1.1354,                0.52523,                 1.3103,              0.0057925,              0.0057925,              0.0057925
                     87,                0.41131,                0.40016,                0.91128,                0.94046,                0.94923,                0.97487,                0.74507,                 1.0493,                0.45407,                 1.1858,               0.005743,               0.005743,               0.005743
                     88,                0.41155,                0.39699,                0.92025,                0.94659,                0.93172,                0.97458,                 0.7225,                 1.1272,                0.49437,                 1.2486,              0.0056935,              0.0056935,              0.0056935
                     89,                0.42751,                0.41214,                0.92032,                0.97957,                0.89119,                0.97083,                0.70052,                 1.1368,                0.60176,                 1.2609,               0.005644,               0.005644,               0.005644
                     90,                 0.4091,                0.39824,                0.91462,                 0.9717,                0.96551,                0.97432,                0.71264,                 1.1577,                0.47097,                 1.2873,              0.0055945,              0.0055945,              0.0055945
                     91,                0.41831,                0.38166,                0.91394,                0.95597,                 0.9733,                0.98152,                0.72782,                 1.0653,                0.48437,                 1.2827,               0.005545,               0.005545,               0.005545
                     92,                0.38797,                0.39267,                0.90063,                 0.9353,                0.88277,                0.93579,                0.69859,                 1.0753,                0.66763,                 1.2237,              0.0054955,              0.0054955,              0.0054955
                     93,                0.41642,                0.39115,                0.92606,                0.94659,                0.94244,                0.97532,                0.73772,                 1.0463,                 0.5174,                 1.1924,               0.005446,               0.005446,               0.005446
                     94,                0.37485,                0.36003,                0.90687,                0.98886,                0.96601,                0.99154,                0.75174,                  1.077,                0.44839,                 1.2388,              0.0053965,              0.0053965,              0.0053965
                     95,                 0.4183,                0.39172,                0.92388,                0.98814,                0.96351,                0.97937,                0.75229,                 1.0793,                0.44466,                 1.2276,               0.005347,               0.005347,               0.005347
                     96,                0.38995,                0.35022,                0.89869,                0.95707,                0.95774,                0.97357,                0.73828,                 1.1197,                0.47003,                 1.2791,              0.0052975,              0.0052975,              0.0052975
                     97,                0.37204,                0.37675,                0.88891,                0.98298,                0.97727,                0.99313,                0.74956,                 1.0002,                0.43864,                 1.1971,               0.005248,               0.005248,               0.005248
                     98,                0.40023,                0.37778,                 0.9123,                0.99077,                0.97727,                0.99154,                0.75909,                0.99884,                0.41361,                 1.2164,              0.0051985,              0.0051985,              0.0051985
                     99,                0.38775,                0.36809,                0.89231,                0.95252,                0.98962,                0.99125,                0.75016,                 1.0681,                 0.4605,                 1.2411,               0.005149,               0.005149,               0.005149
                    100,                0.39131,                0.36842,                0.91231,                 0.9802,                 0.9568,                0.98903,                0.76113,                 1.0014,                0.47393,                  1.168,              0.0050995,              0.0050995,              0.0050995
                    101,                0.38363,                0.34788,                0.89701,                0.97945,                0.96647,                 0.9863,                0.76759,                 1.0075,                0.41685,                 1.2019,                0.00505,                0.00505,                0.00505
                    102,                0.37646,                0.33634,                0.90351,                0.97536,                0.95713,                0.98851,                0.76154,                 1.0079,                0.42806,                 1.2259,              0.0050005,              0.0050005,              0.0050005
                    103,                0.39586,                0.35114,                 0.9062,                0.97789,                 0.9974,                  0.995,                0.78535,                 1.0076,                0.41102,                 1.2498,               0.004951,               0.004951,               0.004951
                    104,                0.38373,                0.36863,                0.91502,                0.98179,                0.95276,                0.98525,                0.75363,                 1.0326,                0.44771,                  1.249,              0.0049015,              0.0049015,              0.0049015
                    105,                0.37063,                0.35058,                0.90159,                0.96339,                0.99423,                  0.995,                0.75497,                 1.0207,                0.42546,                  1.233,               0.004852,               0.004852,               0.004852
                    106,                0.37739,                0.32831,                0.90128,                0.98319,                0.97543,                0.99313,                 0.7559,                 1.0105,                0.43048,                 1.2171,              0.0048025,              0.0048025,              0.0048025
                    107,                0.36606,                0.34137,                 0.9037,                0.96035,                0.97727,                0.99313,                0.76429,                0.97862,                0.40622,                 1.2359,               0.004753,               0.004753,               0.004753
                    108,                0.37165,                0.36527,                 0.9032,                0.97326,                0.96926,                0.99018,                0.74883,                 1.0585,                0.47799,                  1.288,              0.0047035,              0.0047035,              0.0047035
                    109,                0.36815,                0.33686,                 0.8944,                0.98545,                0.94709,                0.99146,                0.74821,                 1.0705,                0.42964,                 1.3053,               0.004654,               0.004654,               0.004654
                    110,                0.36606,                0.33972,                0.89571,                0.98546,                0.95175,                0.98813,                0.75656,                 1.0372,                0.41827,                 1.3206,              0.0046045,              0.0046045,              0.0046045
                    111,                0.36072,                0.32869,                0.89672,                0.98683,                0.95514,                  0.995,                0.78679,                0.97407,                0.42488,                 1.2568,               0.004555,               0.004555,               0.004555
                    112,                0.35348,                0.32012,                0.89215,                0.98553,                0.97897,                  0.995,                0.77132,                 1.0057,                0.39553,                 1.2198,              0.0045055,              0.0045055,              0.0045055
                    113,                0.35363,                0.34114,                0.88888,                0.98156,                0.98012,                  0.995,                0.76988,                 1.0149,                0.38673,                 1.2551,               0.004456,               0.004456,               0.004456
                    114,                0.36329,                0.32144,                0.89499,                0.98442,                0.97189,                0.99313,                0.77052,                 1.0545,                0.39217,                  1.282,              0.0044065,              0.0044065,              0.0044065
                    115,                0.33686,                0.29638,                0.87956,                0.97496,                0.96431,                  0.989,                0.74344,                 1.0621,                0.45491,                 1.2734,               0.004357,               0.004357,               0.004357
                    116,                0.32719,                0.30687,                0.87769,                0.98669,                0.97727,                0.97745,                0.75507,                 1.0096,                0.38823,                 1.2403,              0.0043075,              0.0043075,              0.0043075
                    117,                0.34225,                0.31046,                0.89542,                 0.9783,                0.96426,                0.97726,                0.74106,                  1.084,                0.44696,                 1.2676,               0.004258,               0.004258,               0.004258
                    118,                0.36067,                 0.3202,                0.89594,                0.98603,                0.94727,                0.98458,                0.73635,                 1.0483,                0.43385,                 1.2558,              0.0042085,              0.0042085,              0.0042085
                    119,                0.32623,                0.30708,                0.87159,                0.99146,                0.97727,                  0.989,                0.76558,                 1.0388,                 0.4063,                 1.2582,               0.004159,               0.004159,               0.004159
                    120,                0.35039,                0.32682,                0.88873,                0.99307,                0.97727,                0.97766,                 0.7758,                 1.0617,                0.41458,                 1.2699,              0.0041095,              0.0041095,              0.0041095
                    121,                0.36635,                0.34024,                0.90196,                0.98909,                0.97727,                0.97745,                0.74315,                 1.0694,                0.41004,                 1.2962,                0.00406,                0.00406,                0.00406
                    122,                0.32574,                0.31096,                0.87935,                0.97537,                0.96838,                0.98797,                0.76886,                 1.0016,                0.44081,                 1.2539,              0.0040105,              0.0040105,              0.0040105
                    123,                 0.3412,                0.32007,                0.90371,                0.98888,                0.97696,                0.99154,                0.77049,                 1.0157,                0.44427,                 1.2338,               0.003961,               0.003961,               0.003961
                    124,                0.31998,                0.30253,                0.88748,                0.98857,                0.97727,                0.98797,                0.77585,                0.99759,                0.44624,                 1.2016,              0.0039115,              0.0039115,              0.0039115
                    125,                0.33706,                0.31628,                0.88117,                0.99168,                0.97727,                0.99154,                0.76864,                0.97779,                0.40585,                 1.1798,               0.003862,               0.003862,               0.003862
