                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.64136,                0.63678,                 1.0185,                0.97407,                0.94128,                0.97737,                0.66551,                 1.1414,                0.57916,                  1.332,              0.0096733,              0.0096733,              0.0096733
                     35,                 0.6207,                0.62324,                 1.0111,                0.94936,                0.90223,                0.96022,                0.66102,                 1.1971,                 0.7052,                 1.3699,              0.0096634,              0.0096634,              0.0096634
                     36,                 0.6138,                0.58805,                 1.0058,                0.84882,                0.91477,                0.94158,                0.68439,                 1.1481,                 0.6905,                 1.2908,              0.0096535,              0.0096535,              0.0096535
                     37,                0.58411,                0.59772,                 1.0058,                0.88688,                0.93505,                0.92871,                 0.6563,                 1.2603,                0.71372,                  1.444,              0.0096436,              0.0096436,              0.0096436
                     38,                0.62285,                 0.6049,                 1.0138,                0.96258,                0.92811,                  0.975,                0.71563,                 1.0491,                0.65015,                 1.2652,              0.0096337,              0.0096337,              0.0096337
                     39,                0.60232,                0.56724,                0.98737,                0.94759,                0.84643,                0.97906,                0.70711,                  1.061,                0.70343,                 1.3223,              0.0096238,              0.0096238,              0.0096238
                     40,                0.57558,                0.55615,                0.98928,                0.89617,                0.92064,                0.97074,                0.65466,                 1.1095,                0.64351,                 1.3967,              0.0096139,              0.0096139,              0.0096139
                     41,                0.56133,                0.57633,                0.99326,                0.88815,                0.68194,                0.84305,                0.59597,                 1.2823,                 1.7852,                 1.4397,               0.009604,               0.009604,               0.009604
                     42,                0.59283,                0.57162,                 1.0098,                 0.9283,                0.93182,                0.96542,                0.72671,                 1.0302,                0.65002,                 1.2345,              0.0095941,              0.0095941,              0.0095941
                     43,                0.59061,                0.58102,                 1.0007,                0.90586,                0.94351,                0.97422,                0.71514,                  1.097,                0.58406,                 1.3217,              0.0095842,              0.0095842,              0.0095842
                     44,                0.55963,                0.55488,                0.98082,                0.97127,                0.96161,                0.98706,                0.71364,                 1.1319,                0.53503,                 1.3726,              0.0095743,              0.0095743,              0.0095743
                     45,                0.58088,                0.56701,                0.99893,                0.96164,                0.93653,                0.96971,                0.66797,                 1.1671,                0.56089,                 1.3663,              0.0095644,              0.0095644,              0.0095644
                     46,                 0.5687,                0.55934,                0.99851,                 0.9238,                0.91782,                0.94996,                0.65594,                 1.2284,                 0.7133,                 1.4372,              0.0095545,              0.0095545,              0.0095545
                     47,                0.57382,                0.53749,                0.99724,                0.91748,                0.94041,                0.95349,                0.69212,                 1.0446,                0.64596,                 1.2559,              0.0095446,              0.0095446,              0.0095446
                     48,                0.53424,                0.52815,                0.96529,                0.94575,                0.83783,                0.93967,                0.69368,                 1.0409,                0.68313,                 1.2995,              0.0095347,              0.0095347,              0.0095347
                     49,                0.56358,                 0.5548,                 0.9871,                0.91121,                0.93182,                0.96409,                0.72602,                 1.0634,                0.62251,                 1.2846,              0.0095248,              0.0095248,              0.0095248
                     50,                0.56519,                0.54833,                 1.0013,                 0.7715,                0.84552,                0.84045,                0.55438,                 1.2061,                 1.2469,                 1.4586,              0.0095149,              0.0095149,              0.0095149
                     51,                0.55438,                0.56325,                0.98084,                0.81294,                0.75998,                 0.8652,                0.52411,                 1.4745,                 1.1286,                 1.6673,               0.009505,               0.009505,               0.009505
                     52,                0.53506,                0.51831,                0.96929,                0.97556,                 0.9437,                0.99313,                0.72483,                 1.0878,                 0.5823,                 1.3092,              0.0094951,              0.0094951,              0.0094951
                     53,                 0.5534,                0.51763,                0.98359,                0.94141,                0.93472,                0.95963,                0.70438,                 1.1442,                0.62033,                 1.3427,              0.0094852,              0.0094852,              0.0094852
                     54,                0.53055,                0.49642,                0.96166,                0.96461,                0.88736,                0.93715,                0.64567,                 1.2133,                0.82212,                 1.4173,              0.0094753,              0.0094753,              0.0094753
                     55,                0.54919,                0.54018,                0.97893,                0.90741,                0.94882,                0.95834,                0.71308,                 1.1033,                0.62972,                  1.286,              0.0094654,              0.0094654,              0.0094654
                     56,                0.52957,                0.51201,                0.96433,                0.91712,                0.89184,                0.94665,                0.66833,                 1.1821,                0.60753,                 1.3461,              0.0094555,              0.0094555,              0.0094555
                     57,                0.52308,                0.52845,                0.95484,                0.96254,                0.89285,                0.95138,                0.65963,                 1.1477,                0.64979,                 1.3375,              0.0094456,              0.0094456,              0.0094456
                     58,                0.52652,                0.51329,                0.96984,                0.96565,                0.91098,                0.95293,                0.68563,                  1.141,                0.64598,                 1.3308,              0.0094357,              0.0094357,              0.0094357
                     59,                0.51192,                0.50331,                0.96841,                0.85529,                  0.927,                0.95823,                0.68782,                 1.1246,                0.75585,                 1.3138,              0.0094258,              0.0094258,              0.0094258
                     60,                0.52445,                  0.503,                0.96425,                0.93618,                0.86304,                0.97141,                0.69947,                 1.1113,                0.81243,                 1.3292,              0.0094159,              0.0094159,              0.0094159
                     61,                 0.5309,                0.49855,                 0.9611,                0.96686,                0.86932,                0.94802,                0.70268,                 1.0398,                 0.5744,                 1.2809,               0.009406,               0.009406,               0.009406
                     62,                0.56945,                0.52164,                0.97468,                0.96057,                 0.8358,                0.94485,                0.67353,                 1.2196,                0.69165,                 1.4348,              0.0093961,              0.0093961,              0.0093961
                     63,                0.52754,                 0.5051,                0.96106,                0.96765,                0.86769,                 0.9743,                0.70361,                 1.2244,                0.60213,                 1.4217,              0.0093862,              0.0093862,              0.0093862
                     64,                0.51104,                0.49259,                 0.9607,                0.93141,                0.90436,                0.94614,                 0.6769,                 1.2003,                0.75787,                 1.4271,              0.0093763,              0.0093763,              0.0093763
                     65,                0.54214,                0.51834,                0.97672,                0.92926,                0.91619,                0.95702,                0.69452,                 1.2028,                0.69623,                 1.4278,              0.0093664,              0.0093664,              0.0093664
                     66,                0.51686,                0.48921,                0.95718,                0.84785,                0.83527,                0.89007,                0.61603,                 1.3082,                0.81676,                 1.4639,              0.0093565,              0.0093565,              0.0093565
                     67,                0.52609,                0.48414,                0.97966,                 0.8615,                0.85196,                0.91797,                0.56759,                 1.2748,                0.86987,                 1.5053,              0.0093466,              0.0093466,              0.0093466
                     68,                 0.4871,                0.50439,                0.95196,                0.65078,                 0.6275,                0.64472,                0.40182,                 1.6035,                 1.9203,                 1.8122,              0.0093367,              0.0093367,              0.0093367
                     69,                0.51626,                0.52438,                 0.9633,                0.93476,                0.81858,                0.94461,                0.62908,                  1.207,                0.85285,                 1.3803,              0.0093268,              0.0093268,              0.0093268
                     70,                0.50789,                0.47908,                0.95612,                0.86038,                0.93124,                0.97064,                0.71117,                 1.1136,                0.65143,                 1.3244,              0.0093169,              0.0093169,              0.0093169
                     71,                0.47672,                0.46404,                0.95221,                0.96973,                0.95258,                0.98812,                0.73442,                 1.0707,                0.50631,                 1.2634,               0.009307,               0.009307,               0.009307
                     72,                0.47744,                0.49079,                0.94328,                0.86938,                0.80316,                 0.8806,                 0.5932,                 1.3339,                 1.0419,                 1.4498,              0.0092971,              0.0092971,              0.0092971
                     73,                0.48432,                0.45184,                0.93414,                0.98653,                0.91548,                0.97041,                0.71801,                 1.1016,                0.56127,                 1.3156,              0.0092872,              0.0092872,              0.0092872
                     74,                0.45671,                0.45089,                0.93853,                0.87496,                0.96207,                0.95164,                0.71831,                 1.0443,                0.58449,                  1.272,              0.0092773,              0.0092773,              0.0092773
                     75,                0.48409,                0.47783,                0.95153,                0.90613,                0.91498,                0.97343,                0.69333,                 1.1402,                0.68824,                  1.384,              0.0092674,              0.0092674,              0.0092674
                     76,                0.51617,                0.49718,                0.96601,                 0.9886,                0.92197,                0.95131,                0.65284,                 1.1865,                0.59617,                 1.3905,              0.0092575,              0.0092575,              0.0092575
                     77,                0.48566,                0.47655,                0.94428,                0.95931,                0.95157,                0.97047,                0.73134,                 1.0572,                 0.4639,                 1.3028,              0.0092476,              0.0092476,              0.0092476
                     78,                0.50247,                0.47325,                0.96248,                0.96779,                0.91917,                0.95975,                0.72477,                 1.0569,                0.64729,                 1.2584,              0.0092377,              0.0092377,              0.0092377
                     79,                 0.4754,                0.46651,                 0.9527,                0.91251,                0.90358,                0.95633,                0.69144,                 1.1631,                0.57897,                 1.4009,              0.0092278,              0.0092278,              0.0092278
                     80,                0.48167,                0.46057,                0.93889,                0.95785,                  0.899,                0.95051,                0.67772,                 1.1667,                0.60944,                 1.4102,              0.0092179,              0.0092179,              0.0092179
                     81,                 0.4738,                0.44482,                0.94795,                0.94806,                0.89205,                0.92963,                0.70468,                 1.0925,                0.72368,                 1.3305,               0.009208,               0.009208,               0.009208
                     82,                0.47804,                0.46872,                0.93955,                0.96661,                0.91637,                0.98273,                0.72594,                 1.1032,                 0.5135,                 1.3467,              0.0091981,              0.0091981,              0.0091981
                     83,                0.48483,                0.45144,                  0.943,                0.93431,                0.90405,                0.92177,                0.63281,                 1.1965,                0.81849,                 1.4438,              0.0091882,              0.0091882,              0.0091882
                     84,                0.49369,                0.46373,                 0.9621,                0.97819,                0.97727,                0.98281,                0.73886,                 1.0888,                0.54488,                 1.3309,              0.0091783,              0.0091783,              0.0091783
                     85,                0.50982,                0.46545,                0.95909,                0.85593,                0.91579,                0.95531,                0.69173,                 1.1403,                0.66678,                  1.322,              0.0091684,              0.0091684,              0.0091684
                     86,                0.48147,                0.46081,                0.94413,                0.91479,                 0.8661,                0.90564,                0.61124,                 1.1964,                0.90005,                 1.4195,              0.0091585,              0.0091585,              0.0091585
